User ID,name,Gender,Age,EstimatedSalary,Purchased
10000,Daniel Romero,Female,42,74248,1
10001,Michael Williams,Male,49,122650,1
10002,Amy Adams,Male,25,18499,0
10003,Micheal Brown Jr.,Female,36,112622,-1
10004,Kevin Fox,Male,42,148223,0
10005,Erin Miles,Female,26,69489,1
10006,Scott Hancock,Female,38,39268,1
10007,Jonathan Jones,Male,49,36599,0
10008,Trevor Robinson,Male,44,74145,0
10009,Jessica George,Female,30,41319,1
10010,Olivia Brown,Female,30,118234,0
10011,Micheal Hobbs,Male,39,110305,0
10012,Allen Becker,Male,50,68251,0
10013,Michael Martinez,Female,36,42239,0
10014,Steven Alvarado,Female,32,125017,0
10015,Catherine White,Female,43,20014,1
10016,Christina Ibarra,Female,47,45400,0
10017,Jonathan Mendoza,Female,31,60863,1
10018,Steven Cruz,Female,41,119641,1
10019,Shannon Jordan,Female,50,24870,0
10020,Julia Miller,Male,47,114422,1
10021,Lisa Riley,Male,47,84628,1
10022,Gabriela Pratt,Male,24,134125,1
10023,Crystal Walton,Female,44,35621,-1
10024,Todd Lewis,Male,21,115847,1
10025,Laura King,Male,25,52858,0
10026,Timothy Sharp,Male,44,105188,1
10027,Jill Nelson,Female,25,101423,1
10028,Brent Fisher,Male,38,146880,1
10029,Kathryn Sanders,Female,26,118523,1
10030,Katie Estrada,Female,37,30930,0
10031,David Smith,Female,24,99719,1
10032,Megan Ayala,Female,20,23070,0
10033,Michelle Davis,Male,23,40756,1
10034,James Collier,Female,25,39755,1
10035,Jordan Peters,Male,39,61687,1
10036,Carrie Wilson,Male,46,64360,1
10037,Stacey Ball,Female,49,73472,0
10038,Pamela Harris,Female,40,145054,0
10039,Johnathan Dudley,Female,25,31893,0
10040,Cheryl Oneal,Male,47,70448,0
10041,Dalton Strong,Male,30,104701,1
10042,Virginia Davis,Male,41,58694,-1
10043,Ashley Walker,Male,50,126034,-1
10044,Robin Wong,Female,44,105042,1
10045,Chelsea Rush,Female,33,126761,-1
10046,Amy Mcclure,Female,41,70292,0
10047,Emily Meyer,Male,20,65648,0
10048,Susan Larsen,Male,59,30651,1
10049,Tracy Vazquez,Male,44,108539,-1
10050,Scott Jackson DDS,Female,30,82880,1
10051,Stephanie Reynolds,Male,36,109858,1
10052,Steven Barnett,Female,30,138066,1
10053,Justin Garner,Female,45,33647,-1
10054,Dr. Phillip Johnson,Female,26,44030,0
10055,Joel Carter,Male,20,111549,-1
10056,Amanda Brown,Male,55,8389,0
10057,Austin Garcia,Male,39,110075,0
10058,Elizabeth Pittman,Female,35,28975,0
10059,Charles Hill,Female,35,130486,0
10060,Kyle Leach,Male,46,124103,1
10061,Justin Benjamin,Male,23,30930,1
10062,Stacy Hodges,Male,49,97037,1
10063,Maxwell Lane,Male,42,36262,1
10064,Michelle Peters,Male,29,53903,0
10065,Alyssa Kennedy,Male,32,85376,1
10066,Victoria Howard,Male,46,20244,1
10067,David Wilkins,Male,53,11615,0
10068,Tina Johnson,Male,29,49298,0
10069,Katie Tate,Male,36,20296,1
10070,Anne Nichols,Male,52,127837,0
10071,Dillon Nielsen,Female,25,56546,0
10072,Matthew Duncan,Female,57,21103,1
10073,Ana Clark,Male,48,49499,0
10074,Elizabeth Lee,Female,52,38705,0
10075,Megan Shaw,Male,36,39742,1
10076,Amy Aguilar,Male,40,74766,0
10077,Donald Cruz,Female,50,92670,0
10078,Deborah Wilson,Female,26,131313,0
10079,Stacey Garrett,Female,57,55019,0
10080,Glenn Howard,Female,59,121317,1
10081,William Kane,Female,42,86950,1
10082,Shane Page,Female,20,88480,1
10083,Eric Reed,Male,31,61647,0
10084,John Smith,Male,21,15677,0
10085,Stephen Phillips,Female,38,56758,1
